Temp,DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,year,WQI,quality
25,6.4,7.9,378,4.1,0.94,233,465,2008,96.80386377,1
21,5.4,7.8,438,1.7,0.41,3,6,2008,73.40520667,2
27,7.9,6.7,120,1.2,0.52,233,135,2008,42.90947942,3
26,6.2,7.3,135,1.8,0.52,233,113,2008,66.81361768,2
27,8.2,7.6,176,1.9,0.52,233,135,2008,63.29893855,2
28,6.6,7.4,112,1.2,0.52,233,91,2008,61.30416986,2
26,7.9,7.8,196,0.8,0.52,233,73,2008,58.46775942,2
29,9,8,269,1.8,0.52,233,155,2008,65.5339029,2
28,6.7,8,698,1.8965,0.52,233,465,2008,77.6157009,1
30,9.6,7.6,633,1.8965,0.52,233,30,2008,56.61017916,2
27,3.2,6.8,389,26,0.52,233,633,2008,286.9549064,0
28,5.5,7.5,375,24,0.52,233,383,2008,270.2798264,0
19,5,3.2,630,7,2.5,27,33,2008,43.19624116,3
26,7,7.8,122,0.65,0.52,233,3,2008,61.43806203,2
26,7.2,7.8,130,0.93,0.1,233,3,2008,62.91028812,2
25,6.6,8,151,0.98,0.52,233,6,2008,69.76260986,2
25,6.7,7.9,188,1.03,0.52,233,8,2008,67.9967029,2
28,6.1,7.7,120,1.36,0.52,264,350,2008,71.07776464,2
29,5.4,7.3,141,2.67,0.08,285,510,2008,79.55330667,1
28,5.8,7.8,161,2.93,0.1,518,588,2008,93.78352551,1
27,6.7,7.6,253,1.8965,2.8,233,465,2007,70.8230809,2
25,7,7.7,448,0.4,0.2,17,42,2007,52.76077536,2
27,4.9,7.7,904,3.6,0.52,13950,32750,2007,406.4403681,0
28,6.4,8,477,2.4,0.52,12325,22825,2007,355.6197238,0
29,6.7,7.9,14111,2.9,0.52,10725,21000,2007,324.1044429,0
28,5.7,7.6,868,4.2,0.4,5,57,2007,90.76887246,1
30,6.2,8,899,3.1,0.52,10275,16500,2007,316.1746377,0
26,4.8,7.6,14426,10.4,0.1,32,148,2007,153.5477351,0
27,4.2,7.8,589,4,0.52,23575,50250,2007,631.5779768,0
30,6.8,7.5,2870,2.5,0.1,582,1114,2007,82.08439594,1
29,6.5,6.9,1690,1.5,0.1,555,1331,2007,63.45109681,2
29,6.5,7.1,3110,1.6,0.1,1243,2056,2007,83.48499681,1
27,7.2,7.2,70,1.6,0.1,1554,2887,2007,88.24050812,1
28,7.2,6.8,60,2.1,0.1,5778,10403,2007,180.7242281,0
28,7.4,7.1,80,1.4,0.1,475,1010,2007,59.5152942,2
28,7.2,6.9,80,1.3,0.1,1009,1938,2007,68.12582812,2
29,7.4,7,66,2,0.1,700,1451,2007,68.1569342,2
28,6.3,6.6,66,1.6,0.1,1427,3293,2007,79.43603072,1
26,6.4,7.3,103,4,0.24,126,753,2007,83.06429043,1
27,6.7,7.4,103,3.9,0.22,64,644,2007,81.0754629,1
28,6.6,7.5,97,3.7,0.25,16,169,2007,80.35880986,1
28,5.7,7.2,531,5.3,0.75,116,456,2007,96.06707913,1
25,6.4,7.1,113,3.9,0.47,60,400,2007,77.1981771,1
25,6.6,7.2,88,3.9,0.45,228,1146,2007,81.84123652,1
22,6.2,7.3,117,4,0.5,169,638,2007,84.98297101,1
28,5.5,6.6,1314,1.7,0.4,290,668,2007,58.77208638,2
27,7.5,6.8,32,0.8,0.3,200,738,2007,42.38897391,3
28,6.7,6.8,42,1,0.4,230,804,2007,48.6987229,3
28,6.9,6.7,73,0.5,0.2,688,1242,2007,51.77766232,2
28,6.8,6.9,7920,0.5,0.2,391,813,2007,50.79900928,0
29,7.4,7.2,49,1.1,0.3,327,641,2007,55.25876087,2
28,7.2,6.8,58,1.5,0.3,173,556,2007,49.39761478,3
29,6.8,6.6,115,2,0.5,148,635,2007,51.77524928,2
28,0.8,6.8,2156,7.4,1,14825,20733,2007,461.2002133,0
26,7.1,6.1,34,0.6,0.5,1300,1975,2007,54.99536841,2
26,5.9,6.2,52,0.5,0.6,1100,1775,2007,57.17010522,2
26,5.1,6.2,55,1.1,0.4,1275,2000,2007,70.2257942,2
26,6.7,6.2,43,0.7,0.4,1325,2100,2007,60.1119629,2
26,5.8,6.2,34,0.6,0.3,975,1625,2007,55.70413217,2
26,6.4,6.2,39,0.7,0.4,1375,1900,2007,62.61534377,2
26,6.6,6.3,41,0.6,0.3,1033,1442,2007,54.83451652,2
26,5.4,6.2,47,0.7,0.5,1250,1825,2007,64.65990667,2
28,6.7,6.7,80,1.3,0.5,1655,3050,2007,81.62423623,1
27,6.4,7,112,1.4,0.7,3850,5725,2007,138.2876038,0
29,6.3,7.1,83,1,0.4,643,1080,2007,65.02811072,2
28,6.2,6.5,95,0.8,1.2,1075,2550,2007,63.28350435,2
28,6.9,6.4,41,0.5,0.2,83,285,2007,32.98158232,3
27,6.8,6.5,51,0.5,0.2,98,435,2007,35.56536928,3
28,6.6,6.9,11654,0.7,0.3,338,963,2007,53.22569652,2
28,7,7.2,11962,0.3,0.3,68,550,2007,46.9784487,3
28,7.5,6.9,52,0.5,0.2,138,685,2007,40.08098058,3
28,7.4,6.8,68,0.3,0.2,160,725,2007,37.55418754,3
29,2.8,6.6,1239,2.3,0.6,263,645,2007,76.47624087,1
28,6.2,7.6,380,0.5,0.5,1318,24583,2007,89.92763101,1
30,7.9,7.9,382,2.1,0.21,993,2700,2007,89.09232609,1
30,7.2,7.7,244,1.2,0.51,980,1793,2007,80.53673478,1
32,6.7,7.6,231,1.5,0.56,1460,3133,2007,94.76717623,1
29,7,8.1,637,3.5,1.2,233,465,2007,92.1635487,1
26,7.5,6.5,65,1,0.15,108,319,2007,36.81685391,3
28,6.8,6.5,88,0.9,0.11,111,233,2007,39.34732928,3
29,6.8,6.5,128,1.8,0.15,295,507,2007,51.45398261,2
32,7.8,7.2,250,1.9,0.15,128,249,2007,55.95969304,2
28,7.2,6.4,71,1.2,0.12,67,165,2007,37.35257478,3
27,7.4,6.5,71,1.5,0.12,98,189,2007,41.47238087,3
31,7.6,7.1,428,2.5,0.15,226,443,2007,62.74470696,2
28,6.8,7.2,856,2.1,0.32,213,348,2007,64.59314928,2
27,7.3,7.3,152,2,1.28,333,998,2007,65.78359449,2
28,6.9,7.2,58,1,0.52,14,55,2007,49.75880899,3
29,7,7.2,56,1,0.52,4,16.5,2007,49.04781203,3
22,7.9,7.9,385,2.5,0.25,11,24,2007,70.34723942,2
18,3.9,7.9,2422,74.8,0.78,233,465,2007,735.0996243,0
24,4.9,7.6,972,19.6,1.8,328,718,2007,238.3980348,0
20,7.4,7.5,413,2.1,1.23,1663,10775,2007,101.2556009,0
21,6.1,7.8,632,8.1,2.9,37250,162500,2007,985.912698,0
21,6.7,7.6,425,7.4,2.88,22250,78750,2007,623.3850496,0
21,6.3,7.7,619,7.3,3.28,28250,125000,2007,769.0216107,0
22,6.4,7.7,439,4.2,2.2,60275,440750,2007,1518.159144,0
22,6.5,7.7,686,9.8,2.6,19750,105000,2007,597.8798301,0
21,6.4,7.8,754,13.8,2.53,56500,227500,2007,1474.637224,0
22,6.3,7.7,615,8.2,3.7,34500,622500,2007,1024.608451,0
21,6.2,7.6,457,3.7,2.23,8633,49000,2007,285.4933577,0
21,6,7.8,690,9.6,3,16250,117500,2007,525.6954783,0
21,5.9,7.8,692,11.1,3.5,94000,222500,2007,2280.884672,0
21,5.9,7.7,699,10.4,3.33,60500,967500,2007,1696.485225,0
22,6.5,8.2,1315,2.2,0.05,233,465,2007,84.82081014,1
29,6.7,7.2,198,50,0.27,233,465,2007,489.4025496,0
30,6.7,7.4,198,50,0.4,233,465,2007,492.8887629,0
29,1,7.3,198,49.7,0.6,233,465,2007,515.9409861,0
19,5.6,7.4,168,2.2,0.38,5,16,2007,69.90875275,2
25,6.7,7.9,135,0.4,0.52,233,3,2007,62.4071829,2
25,6.5,7.9,195,0.6,0.52,233,3,2007,65.15295681,2
24,7.3,7.8,219,0.5,0.52,233,465,2007,58.78998116,2
24,7.7,7.9,227,0.4,0.52,233,15,2007,57.61919333,2
23,6.2,7,132,1.6,0.52,233,102,2007,59.83213768,2
23,6.4,7.4,137,2.1,0.52,233,58,2007,70.23138377,2
23,6.4,7.6,200,1,0.52,233,36,2007,63.97520377,2
23,7,7.6,210,2.4,0.52,100,137,2007,70.56660203,2
23,3.6,7.2,249,4.9,0.52,233,383,2007,105.1115586,0
23,3.7,7.5,224,4,0.52,233,394,2007,101.8685916,0
24,7.1,7.3,156,2,0.52,233,89,2007,64.25357507,2
23,7.1,7.2,127,2,0.52,233,60,2007,62.50481507,2
22,5.8,7.6,258,1.7,0.52,233,118,2007,73.08892551,2
24,8.4,7.9,383,0.8,0.52,233,180,2007,57.86300464,2
20,8.1,7.2,221,5.4,1.95,213,373,2007,87.59463217,1
18,6.1,3.1,738,5.5,2.73,32,45,2007,23.0523313,4
16,8,7,164,1.7,1.6,1600,2067,2007,82.82589246,1
19,5.4,7.2,153,1.7,1.78,213,278,2007,67.77713333,2
18,7,7,161,1.7,2.43,250,375,2007,57.5196087,2
27,5.2,7.4,120,1.4,0.05,203,280,2007,69.13874058,2
27,4.7,7.4,139,1.8965,0.11,308,440,2007,78.30563336,1
27,5.4,7.4,128,3,0.06,353,565,2007,85.72032,1
23,6.9,7.2,233,1.5,0.52,233,119,2007,59.07728899,2
27,6.7,7.61,168.2,1.8965,10.3,233,465,2006,71.7980249,2
25,7.102,7.945,307.5,1.525,0.11,26,50,2006,66.64167667,2
22,5.35,7.935,735,4.7,0.835,27650,15000,2006,716.9545368,0
25.5,7.05,7.995,535,4.7,1.195,13400,33500,2006,398.9580186,0
29.667,6.5,8.14,16410,5.3,1.397,9200,2400,2006,313.2849821,0
25.5,6.7,7.885,896.5,15,0.42,3,10,2006,186.4611196,0
29,5.6,8.173,3660,4.6,0.46,4500,6867,2006,206.1965394,0
26.5,6.085,7.695,933,3.2,0.153,450,1550,2006,91.86414235,1
26.5,6.055,7.605,6715,4.3,0.222,45,140,2006,92.20215243,1
27,7.93,8.32,2160,1.46,0.277,4,5,2006,68.52260533,2
25.667,4.9,7.943,504.7,3.1,0.603,1810,2367,2006,131.1758168,0
27.75,6.625,7.725,149.3,2.175,0.123,2,60,2006,70.30947878,2
27.75,5.175,6.95,464,1.5,0.7,75,255,2006,59.64465899,2
30,6.4,7.45,142.8,2.025,0.155,1787,4073,2006,105.6235531,0
28.25,6.2,7.9,218,1.575,0.615,233,85,2006,75.26040435,0
26.667,7.4,6.733,344.3,1.7,0.9,33,160,2006,45.99018687,3
28.75,7.6,6.775,213.3,1.3,0.173,133,3275,2006,45.00332762,3
28,7.35,7.1,214.8,1.425,0.15,41,285,2006,50.26136035,0
28.25,7.675,6.875,103.3,1.025,3.367,18,96,2006,41.02834307,3
27.25,7.125,7.55,418.3,1.725,0.45,18,106,2006,61.341296,2
28.5,7,6.725,497.3,1.575,0.135,1956,5425,2006,90.2757747,1
27.714,6.543,7.229,130.4,4.014,0.307,8,187,2006,78.54873742,1
28.714,6.7,7.307,121.5,3.857,0.264,9,162,2006,77.76768757,1
28.667,7.1,7.507,102.5,4.633,0.21,10,152,2006,86.19430774,1
26.667,6.333,7.277,542,5.4,7.187,15,207,2006,93.66303736,1
26.714,6.471,7.379,204.3,3.729,0.309,10,174,2006,79.0341167,1
28.286,6.371,7.061,214,4.5,0.346,18,292,2006,81.02855499,1
19.333,6.7,7.44,153.3,4.4,0.65,23,305,2006,85.27326223,1
29.083,6.2,6.457,881.1,1.757,0.326,253,541,2006,52.47759301,2
27.417,7.286,6.586,82.9,1.071,0.233,222,470,2006,42.53346467,3
27.286,6.525,6.5,124.1,1.313,0.227,334,844,2006,49.40964841,3
28.6,6.917,6.95,185.4,0.467,0.112,165,433,2006,44.0225882,3
28.667,6.8,7.043,8489.9,0.414,0.153,238,473,2006,49.18435661,3
27.786,7.075,7.25,107.3,0.988,0.369,238,384,2006,54.69579948,2
28.143,7.013,6.712,151.4,1.4,0.397,262,485,2006,49.86680072,3
27.5,6.787,6.65,119.3,1.637,0.4,294,574,2006,52.69570725,2
28.571,4.1,6.775,511.4,6.788,1.373,2150,3100,2006,155.1551291,0
27,6.9,6.8,224,0.733,0.438,2000,2500,2006,84.90737965,1
26.5,6.867,6.833,292.7,0.633,0.575,1900,2400,2006,82.55191101,1
26.25,6.467,6.6,240,1.033,0.66,2100,2733,2006,88.46313817,1
26.75,6.667,6.933,268,0.933,0.893,2333,3300,2006,97.70231893,1
26.75,6.967,6.933,268,0.833,0.4,1600,2233,2006,78.88591672,1
26.5,6.733,6.867,324,0.933,0.455,1973,2233,2006,88.01273354,1
27,6.714,6.957,143.4,0.671,0.449,1457,2171,2006,75.88968806,0
26.75,6.733,6.733,242.7,0.9,0.743,1867,2833,2006,83.19737954,1
28,7.233,6.867,75.7,1.1,0.853,1600,2300,2006,78.84591142,1
27,6.233,6.9,104.7,0.867,1.267,1300,2233,2006,75.57404899,0
28.5,6.867,7.067,336.7,0.533,0.285,60,455,2006,44.61502435,3
28.5,6.433,6.667,339.3,0.6,0.292,440,967,2006,48.86400307,3
29,7.033,6.533,141.3,0.533,0.135,193,740,2006,37.488792,3
28.75,6.633,7.067,237,0.633,0.45,337,800,2006,52.81967383,2
28,6.833,7,18389,0.7,0.345,173,583,2006,51.59728391,2
28,7.033,7.033,241,0.267,0.232,345,1260,2006,47.32029933,3
28.5,7,7.133,302,0.7,0.168,323,933,2006,52.4962567,2
29,3.5,6.567,1285.3,2.133,0.347,220,443,2006,70.04525284,2
28.857,6.243,7.253,405.6,0.857,1.269,3333,21469,2006,130.793137,0
21,6.9,8.2,211,2.8,2.12,1400,2200,2006,114.3635023,0
24,7.8,8.5,197,0.6,3.01,1700,3500,2006,102.7775464,0
33,7.3,8.6,528,0.9,4.8,233,465,2006,76.75470783,1
27.5,7.95,6.565,188.5,1.5,0.08,24,66,2006,38.31381928,3
29,5.8,6.6,107,1,0.265,25,58,2006,44.86142551,3
31.25,6.975,6.725,144.3,1.5,0.22,34,98,2006,46.01563977,3
27,5.35,7.19,216.3,1.325,0.263,11,31,2006,59.85410414,2
30,7.525,6.61,93.3,1.5,0.283,10,26,2006,40.82268951,3
29,7.15,6.56,141,1.1,0.25,22,73,2006,38.50039159,3
27,4.325,7.045,547,2.075,0.25,25,109,2006,69.30493812,2
27.5,6.925,7.633,552,2,0.217,325,570,2006,73.06936925,2
27.25,6.825,7.125,299.3,3.667,1.525,316,771,2006,79.4205942,1
26.667,6.7,7.267,92.7,1.333,0.52,6,41,2006,54.6595729,2
26.333,6.75,7.3,169.3,1.667,0.52,29,47,2006,58.47494942,2
21.25,5.87,7.84,895.5,4.35,0.52,233,465,2006,100.5929546,0
17.667,6.033,7.367,323.3,3.267,0.667,2390,6867,2006,130.9791149,0
16.5,5.1,7.85,785,12,1.65,3050,36500,2006,242.4713609,0
18,4.867,7.367,568,12,1.367,3500,27667,2006,243.1304721,0
17.333,4.833,7.533,760,13.333,1.933,2300,30000,2006,232.0729004,0
17.5,5.1,7.367,388,6.933,1.4,2723,43067,2006,183.3367635,0
15,6.8,7.3,433.5,5.4,1.35,635,9250,2006,106.8450526,0
17.5,4.2,7.367,758,14.667,1.7,34033,83667,2006,957.1251141,0
18,5.533,7.3,453.3,9.333,1.567,35760,88333,2006,941.4441817,0
17.5,5.2,7.3,391.3,6.267,1.4,23723,54067,2006,642.3178506,0
18,4.2,7.733,825.3,21,1.4,10500,76667,2006,497.9012961,0
18.333,4.033,7.667,855,21.333,1.767,17433,148667,2006,669.6126267,0
18.667,4.133,7.633,811.3,20.333,1.667,38700,110333,2006,1121.235972,0
18.5,6.65,7.875,914.5,43,0.824,9650,16900,2006,651.3466937,0
19.5,7.2,9.01,340.5,4.6,2.955,12,23,2006,111.8814848,0
20,6.1,7.1,198,3.1,0.3,4,14,2006,70.2374313,2
26,0.6,7.3,646,87,6.8,233,465,2006,848.8213606,0
16,7.2,7,183,5.2,2.6,140,180,2006,85.08896145,1
15,4.6,3,350,6.2,2.2,33,49,2006,34.60870899,3
10,8.8,7,172,1.6,5,1800,2800,2006,83.04675014,1
11,10,7.1,150,1,4,240,350,2006,38.56933333,3
12,9,7.3,158,1.8,7.2,220,280,2006,53.82802957,2
23.667,7.767,7.543,198,0.5,0.52,233,465,2006,52.07716507,2
23.7,7.167,8.143,198,0.6,0.52,233,465,2006,66.26488681,2
23.767,8.533,7.857,170,0.4,0.52,233,465,2006,52.95171899,2
23.667,8.867,7.793,216,0.5,0.52,233,465,2006,51.12916855,2
28,5.6,7.65,375.2,1.758,1.995,2636,18417,2005,132.7516461,0
27,6.7,7.76,233.3,10.825,5.657,233,465,2005,152.9437942,0
27,6.7,7.3,198,1,1.01,1200,37000,2005,86.87985623,1
26,7.2,7.84,342.8,1.764,0.528,78,230,2005,67.70530678,2
27,5,7.22,18370.3,19.663,0.452,9625,13525,2005,443.8393085,0
29,6.2,8.11,480,11.333,0.39,14050,18810,2005,474.7920603,0
27,7.2,8.07,580,4,0.37,150,280,2005,93.12828812,1
28,6.2,7.98,11125,5,0.39,7147,50350,2005,273.1999443,0
28,3.9,7.92,1039,14.847,1.412,6,36,2005,199.396627,0
29,7.2,7.42,246.9,4.632,0.791,10011,118311,2005,331.3064194,0
28,6.9,6.44,302.9,2.304,0.231,12,116,2005,48.09971765,3
29,7.8,6.69,255.9,2.754,0.348,13,140,2005,52.12316704,2
29,6.7,7.35,346.1,1.893,0.973,13,148,2005,61.3410889,2
28,8.3,6.68,348.9,2.503,1.686,13,155,2005,47.49232826,3
28,8.1,6.18,187.4,2.375,0.196,12,155,2005,38.42090951,3
29,7.7,6.55,121.8,2.242,1.136,13,164,2005,45.70356267,3
29,8.6,6.56,181.4,2.423,0.276,24,155,2005,43.30979739,3
28,7.7,6.45,302.5,2.144,0.163,10,142,2005,42.96229933,3
28,7.4,6.07,142.8,1.681,0.276,12,140,2005,33.73126487,3
27,7,8.16,4545,4.165,0.343,9593,27550,2005,312.67249,0
27,5.9,7.36,761,6.1,0.083,1200,4600,2005,129.8098599,0
27,5.7,7.62,665,2.12,0.86,1050,6000,2005,97.1115058,1
27,6.1,8,602.5,5.64,1.035,38143,38428,2005,959.8378413,0
19,6.3,8.05,634.3,13,10.89,233,75,2005,179.7302034,0
27,7.1,7.2,280.5,1.6,0.48,74,95,2005,55.48721174,2
28,7.4,7.27,253.3,1.333,0.17,233,37,2005,56.35692954,2
28,7.3,7.3,236.7,4,0.08,233,58,2005,80.95822849,1
27,5.9,6.6,1359.5,1.755,0.326,170,387,2005,54.62269788,2
27,7.4,6.68,39.3,1.164,0.204,125,298,2005,42.24579887,3
27,7.1,6.75,41.9,1.325,0.18,147,378,2005,46.83117974,3
27,6.8,6.92,70.8,0.458,0.117,151,353,2005,43.63332661,3
27,6.8,6.98,7179.1,0.475,0.206,211,466,2005,47.74982728,3
27,6.8,7.03,36.8,1.117,0.146,118,624,2005,50.70240528,0
27,7.2,6.76,59.8,1.692,0.449,127,357,2005,49.35910545,3
27,6.2,6.63,106.8,1.275,0.444,128,360,2005,48.25444435,3
27,6.6,6.77,250.7,1.383,1.54,2433,3383,2005,101.4735599,0
27,6.9,6.95,51.3,0.625,0.518,1525,3100,2005,76.16061632,1
27,6,6.75,641,0.975,0.792,1900,3600,2005,88.67379026,1
27,5.4,6.85,73.3,1.075,0.457,4955,8375,2005,162.5859913,0
27,6.7,6.93,65,0.675,0.77,2100,4200,2005,90.19825623,1
27,6.9,6.85,56.3,0.575,0.383,1933,3400,2005,83.05115632,1
27,6.5,6.98,59.3,0.575,0.345,1333,2600,2005,73.79280948,2
27,6.8,7.06,63.3,0.567,0.404,1769,2825,2005,83.35996328,1
27,5.8,6.73,73,0.7,0.315,1925,3500,2005,87.20785217,1
27,6.8,6.8,69.8,0.7,0.61,1100,1775,2005,65.03173194,2
27,7.1,6.83,80,0.7,0.835,850,1475,2005,58.54511507,2
27,6.3,7.15,65.5,1.05,0.223,98,595,2005,54.16430872,2
27,6.3,6.95,77.5,0.65,0.208,253,775,2005,50.61760872,0
27,6.9,6.65,34,0.5,0.095,130,215,2005,38.33186232,3
27,6.4,6.75,49.3,0.675,0.193,197,350,2005,45.54687777,3
27,6.8,7.35,18568.3,1.15,0.14,215,660,2005,62.77761528,2
27,7.1,6.98,58.3,0.55,0.152,123,510,2005,43.46286641,3
27,7,7.23,67.5,0.425,0.09,140,453,2005,47.5358587,3
27,2.4,6.43,1041.3,2.025,1.05,133,373,2005,70.0879547,2
27,6.7,7.56,128.4,4.942,0.447,11,250,2005,91.84927357,1
27,6.8,7.68,123.2,4.475,0.4,12,236,2005,89.33023994,1
27,6.5,7.33,135.8,4.4,0.33,13,208,2005,84.04465948,1
27,5.1,7.45,5168.8,9.875,1.81,7,210,2005,142.4646902,0
27,6.5,7.34,128.5,5.125,0.819,11,230,2005,90.64845748,1
27,6.6,7.47,143.8,4.958,0.667,16,358,2005,91.07129386,1
27,6.6,7.75,136.8,4.5,0.505,15,203,2005,91.80242586,1
27,7.9,7.85,76.5,3,0.52,233,55,2005,78.77990942,1
27,7.4,7,82.3,2.027,0.52,233,44,2005,57.8152042,2
27,7,7.9,77.5,3.525,0.52,233,45,2005,88.62301203,1
27,6.9,7.73,85.3,3.233,0.52,233,63,2005,83.57379099,1
27,7.3,7.77,128.3,4.043,0.52,233,66,2005,89.52408316,1
27,8,7.8,132,3.4,0.52,233,54,2005,80.98361246,1
27,5.5,6.58,121.3,11.57,0.52,233,315,2005,144.2074924,0
27,7,7.43,136.7,8.693,0.52,233,252,2005,126.269512,0
20,6.6,7.15,199,7.475,2.1,208,288,2005,112.1931965,0
18,6.4,3.05,605,5.067,4.8,18,45,2005,16.79581443,4
15,7.1,7.03,147.3,2.1,1,1675,2300,2005,92.85676107,1
19,8.1,7.03,148.3,1.967,0.52,230,307,2005,54.44335551,2
21,8.3,7.1,152,2.133,0.52,270,413,2005,57.07394759,2
25,7.4,6.6,198,1.8965,0.52,233,465,2005,49.8340922,3
25,6.8,6.3,198,1.8965,0.52,233,465,2005,47.51261394,3
25,6.1,7.15,198,1.8965,0.52,233,465,2005,65.63622264,2
26,7.5,7.2,198,1.8965,0.52,233,465,2005,59.76900525,2
28,7.5,7.8,286.5,1.775,0.51,7448,17625,2005,232.3545639,0
27,6,7.55,214.5,3.125,0.895,2600,10950,2005,138.5980216,0
32,6.3,7.43,201.3,2.175,0.76,2825,4500,2005,130.1979967,0
29,6.1,8.33,868.5,1.8965,1.975,233,465,2005,86.42761264,1
27,8.1,7.86,342.3,2.747,0.24,233,465,2005,75.86984217,0
25,7.3,7.3,157,2.067,0.55,153,348,2005,62.17696516,2
27,4.9,7.33,494.7,14.533,2.2,1233,18000,2005,212.5990181,0
28,6.3,7.58,379.8,6.7,1.575,1640,4963,2005,146.8990334,0
28,6.1,7.58,490,14.25,2.425,4875,27500,2005,291.2626246,0
25,6.8,7.43,337.5,4.25,1.225,1175,3043,2005,109.4557259,0
26,6.7,7.38,333.5,3.85,1.575,548,11050,2005,93.47023957,1
27,5.9,7.48,428,8.35,2.2,4050,22025,2005,218.7867586,0
25,6.5,7.4,361.8,4.3,1.9,1158,15875,2005,113.3472728,0
25,6.9,7.4,322,3.75,0.975,200,3500,2005,82.55013565,1
26,5.1,7.48,496.5,14.7,2.3,4325,23500,2005,285.2736575,0
28,5,7.4,515.3,14.76,2.08,8860,37320,2005,388.1410472,0
28,5.1,7.43,503.3,16.25,2.3,12938,44000,2005,492.9850535,0
27,4.4,8.23,390,1.39,0.08,14,150,2005,83.16489623,1
27,4.2,8.52,380,1.26,0.16,28,1100,2005,88.53565681,1
23,4,7.65,729,36,2.89,1190,2950,2005,408.3755707,0
22,8,8.31,617,4.4,0.655,14,30,2005,93.96549246,1
27,5,7.92,160,1.443,0.153,17,149,2005,75.38939183,0
25,7.5,7.53,87.3,1.407,0.567,32,133,2005,56.63039591,2
27,6.6,7.27,162.3,3.555,0.292,46,156,2005,75.76156786,0
28,6.8,7.12,172.3,1.723,0.198,62,283,2005,56.35199261,2
27,6.7,7.6,277.8,1.229,0.183,12,33,2005,59.65456157,2
28,7.1,6.94,95.8,0.943,0.151,10,26,2005,43.65166307,3
27,7.4,7,88.5,0.977,0.186,27,105,2005,43.94627087,3
27,6.6,7.81,603.2,2.675,0.263,40,191,2005,77.31513519,1
28,6.6,7.49,571.5,2.091,0.256,151,273,2005,69.05376786,2
28,5.4,7.16,75.8,2.092,0.52,404,513,2005,74.67077333,2
30,5.4,7.37,104.8,1.802,0.215,456,557,2005,76.88120667,1
